,Title,Authors,Avg Ratings,Ratings,Published_year,Pages
584,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
585,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
586,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
587,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
588,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
589,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
590,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
591,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
592,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
593,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
594,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
595,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
596,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
597,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
598,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
599,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
600,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
601,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
602,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
603,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
604,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
605,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
606,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
607,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
608,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
